,asin,summary
96,B004K1ERYA,I liked it! A lovely story Short and sweet
97,B004K1ES0S,A lovely little tidbit. The beginning of Kit's story Kit & Jude
98,B004K1EZP6,Bad Moon Rising?
99,B004K1F1TK,"Would read a long version of this An immaginative tale that has some messages Five Stars Conversion Good Felt like something I've read before. Clever and engaging Glad it was free... Awestruck. Review of Re:Union Interesting This item is what it was represented to be, and I am most appreciative of the fact that I received what I paid for. Fascinating Ideas; Abrupt Ending Thought-provoking and well-written short story An interesting look at a future world TOO SENTIMENTAL FOR MY TASTES Four Stars"
100,B004K6MJIQ,"No thanks Great fun for anyone--especially moms!! Cute. First Part a Bit Boring, a Slighty Interesting Amateur Quality Story After That Cute Fun premise, enjoyable read"
101,B004KKXTHC,Very nice short story Scale of a Dragon
102,B004KKY7IC,loved it! Clever. 1st book of the series Five Stars Nice young adult paranormal story
103,B004KSQVBA,A Different Take on Vampires Good read Really bad Enjoyed Interesting character and plot Fantastic Book and Series
104,B004LGTP3M,Excellent Science Fiction
105,B004LGTRHQ,"I liked it, but don't know if I can recommend it"
106,B004LGTRNA,"3.5 stars Demons seemed to be everywhere! Is It Fantasy or A Ghost Story? Good story...just make it longer! Shoulda been longer. It Was Just Kind of ""There"" Beyond The Veil Review by Cheney This was incredibly short, so I can't say there ... Action Packed Ride An excellent quick read Everything but the kitchen sink in here"
107,B004LGTRPS,Extra specially good love story!!! A+++
108,B004LLIJBG,A good short story The Butterfly Knight
109,B004LX0BC4,This short quirky read had me looking for more Really Kept My Interest
110,B004LX0E5I,Really a 4.5 stars Five Stars Time we'll spent !
111,B004M18Y9M,Aboard the Unstoppable Aerostat Fenris Borrowed the Name from H. Beam Piper An excellent start to a series
112,B004MPRXHC,Satisfyingly excellent The Huntress
113,B004N62MC6,What a wicked web they weave. Four Stars The Sacred Protocol
114,B004NIFBR2,"Brief and sweet A bland and somewhat disappointing read Not bad, could have been better."
115,B004NSV5DG,"The Box. Disappointing STILL GOT IT! I wanted more... You bring the chips, I'll bring the beer to the end of the world. Short but super sweet"
116,B004OA64IE,"Great addition to the Taltos lore Good, but very short. Such a tease! not bad, too short, too undeveloped. Doesn't amount to much"
117,B004OR1G4O,"Five Stars Excellent Guide to Free Science Fiction from Bygone Eras. Glad I got Free Science Fiction Books On Kindle but you miss out on line when you make the font larger for blind readers like me. Suggested reading is useful. Classic Science Fiction Okay, not easy to navigate"
118,B004P5NSKA,"Very Enjoyable Short.  Good Enjoyable Fascinating approach to language and culture Intelligent, insightful, and instrumental. A beautiful world, and the virtues of hard work Not much here"
119,B004P8JJOQ,"I Liked It, But Felt Like Something Was Missing Five Stars Even the afterlife has rules. interesting view of the afterlife More. A look into the dead world Didn't care for this A clever and fun story Nice short story It's not bad and it leaves you wanting more.... Five star entertainment."
120,B004PLNL2E,"OK, but not great"
121,B004PLNOVM,"Thumbs Up on Plot, Thumbs Down on Editing"
122,B004PYDSJC,"Year One (Living With the Dead) LWtD Out of 110 kindle books this is the first 5 star review for me Good story...day by day survival can't beat this series Great characters. If you liked Max Brooke's book ""World War Z, You'll probably like this series LWTD 1 Dude!  More! More! More! Wow We want the next book. Good Get it Year one (Living With The Dead)"
123,B004QO9YRG,"Darkness by John Griffin Good ideas, but needed editing Awesome twist for time travel A Book That Mostly Left Me In The Dark Interesting! Imaginative & Addictive"
124,B004QT6ZPK,"A fun read Ready for more! A little gem. Bad Date Done Right. A well crafted little story with a satisfying twist at the end even seventeen. year old magic filled girls have dreams. and Chad wasn't even close to being dream worthy. he is a thug. Really cute short story that will give you a glimpse into the kind of world you'll find in the Andrews' newest book--Burn for Me Possibly the worst date ever. A cute, cute story Short but so cute Too short but so sweet So much fun - even if you are an ""old"" adult Probably the Best Short Story I have read in Years So cute, but way too short! Cute and sweet short YA urban fantasy Short escape from reality *spoilers* Charming short story Adorable short story - Young adult audience"
125,B004RJ3MLY,Nice surprise Excellent story Great beginning Excellently executed Loved this book! Hard to follow and not super developed Strange and unique Four Stars Great! Excellently written
126,B004RJ44MA,Magic of Romance
127,B004RPVVTI,Deception
128,B004RQA6Q6,"corn chips Action, attraction and Science Fiction Good storyline with graphic sex"
129,B004RVSUL4,Thrill Ride of an Adventure Blackmore fails to hit a home run but this is a solid rbi double Great Sci Fi short story For a random one off Another good book from this author. ALIEN in  reverse Kick ass and take names
130,B004S7MIHE,Fun little story A bit of fluff Three Stars Short story
131,B004SI455Q,"External Eden very good book Perfect prose but too many cliches of plain girl turning out into a sort of all powerful goddess Good book awesome Heaven Eternal Eden Incredibly Intense, Well Written Book The characters drew me... Disappointed Great and perfect book!!!! Okay Bryn And William, sounds like a fairy tale A diamond in the rough!!! A trilogy I won't be continuing! Eternal Eden Good book. Definitely a Twilight rip-off."
132,B004SY5NW4,Keep reading! One of Mike's earlier works US Military Advisers sent to the Stone Age
133,B004T39Y88,Just not my cup of tea
134,B004T4LQ9C,Not particularly good
135,B004TAQY2K,"sleep thief Outstanding adventure! Fun book for younger readers Good read Great sci-fi story about 3 different aliens come together to kick some series slaver/bug/pirate butt Really liked... Entertaining and fun to read Good, solid start to a long series. Could have been told better Great new space series! OK for young kids, otherwise Meh. What?! Alcantarans. A little old fashioned? Good One of the best books you will ever read period Four Stars A SyFy Novel Of Beings Kidnapped From Different Planets Review of Alien Abduction by Terry Comption."
136,B004TNJ7MG,"A more then decent first book Loved the story, the padding I could do without. A very good book Depraved, ugly, nasty and evil Highly recommended it was great space warfare saga at it's finest. Intricate plot and colorful characters Imagery too violent Hard science fiction, complex and engaging"
137,B004TXMT80,A surprisingly good read! GRIM BUT INTERESTING
138,B004TY08S2,"First story is the strongest Nice Collection of Short Stories, Perfect for Your Lunch Break"
139,B004TZ1I4E,Five Stars I found it to be so imaginative and sweet. The little outcast girl who is secretly powerful Even better Great A Reading the Paranormal Review Review of The Unfinished Song: Taboo characters that are inspiring and ones you love to hate
140,B004U7G7UQ,Had potential that was simply undercut by its short length. An extremely relevant discourse on tolerance INNNNN SPACE Four Stars
141,B004UB1FAE,"Once more into the fan Good space opera, lots of ground action Don't bother Swarm them under with numbers"
142,B004UB1KC2,Vampire-Alien Chronicles Good Story! Vampires and Aliens in the SAME Universe? YEP!
143,B004UB1O4G,Amazingly Written Repetition One of the best fantasy books of the year
144,B004UBNG10,":) Unique story Good Excellent  Series eh... Just a quick read.. ... Gaslight novella great little story Nice light read Durm and Strang My introduction to Steam Punk Pics and Spooks 3.5 stars - Quickie follow-on to Steam&Sorcery, what was here was good - but more would have been better Four Stars A one-evening fun read."
145,B004UHLJFO,"Pretty good so far Fast paced series Enjoyable read Inner Circle (Comet Clement 1) Doomsday A good read Great book loved the story line & characters Fast read, good The Inner Circle ( 1 ) Horrible beginning to a horrible series Good read so far... warning there is 12 books in the series thou reading and reviewing books Great story...so far. It's not ""When Worlds Collide"" Great story Good start Comer Clement Beginning book a bit rocky. This is an amazing series. If you have only read this book ... review for the ""Inner Circle"" Five Stars Four Stars All in all a good read. excellent beginning makes you wonder if it could happen Comet Clement Here atarts an adventure you will Love right up to the very end Great series!!  Read them all! A very interesting book, this could be real! interesting! Four Stars Conspiracy Book one - Inner Circle then maybe I will recommend this book to my DESCENDANTS Not bad It was OK, but certainly not worth a series! Good Read Liked it, but haven't gotten the rest Very well written Clement Series Book 1 Very engrossing, I read all 12 back to back soul rendering possible future a story that got better as you read more if it. SLOW Comet Clement  Books 1 - 3 review Review: Inner Circle by Kevin George Compelling We loved it! Great New Series This one started it all Over a Decade to Spare A great read!!! enjoyable. teaser The Inner Circle Comet Clement series Comet Clement series is a very good story. High Praise for #1 - #8 It was basically boring for me Wow what a book! Read the ENTIRE series- loved it. What a ride!"
146,B004URTGQ8,"Great entertainment waiting on book three..... Starting Over ""TAKING IT BACK"" IS ONE ZOMBIE FIGHT YOU'LL LOVE! Almost as good as the first one. very good Good read Awesome Great story line. White flag series Taking ti Back: White Flag of the Dead Book 2 Great book!!! Outstanding Love this series Taking it Back Great series! Love Joseph Talluto Excellent Book a solid entry The saga continues No sophomore jinx in this series Keeps you on the edge"
147,B004UWU9IM,"Surprise eh... Just a quick read.. ... BUY THIS BOOK!!! Needs some editing S. A. Hunter's Best Fantastic read! Funny, charming story. I loved it! Great flowing read! Surprisingly Good *** beware of spoilers Pleasant time travel romance Here be SPOILERS! unicorns"
148,B004V0D3I6,"Good Read, Can't wait for more Excellent first book!! Can't wait for more!! Liked everything but the main character Too much detail Too wordy, too slow paced"
149,B004VB514O,this was an ok book...especially the price A good read for zombie fans! Muddled like a Zombie's Mind I didn't think it was so bad One of the most tedious zombie apocalypses I've ever read Very different
150,B004VB532E,Immortality A nice read.
151,B004VF67ES,Marvelous continuation of the trilogy! A++
152,B004VS9A12,"Makes you think about creation. Rolling Thunder Rolling Thunder confusing and slow In the end, very disappointed"
153,B004VWL2T6,"Storyline moves very quickly, leaves much unexplained Confusing World"
154,B004VXJUE4,Simply The BEST Sci-Fi with a twist A yarn missing way too many threads Great series sci fi action Actually a 3.5 stars
155,B004VXK0NO,Malakh
156,B004W0II3K,wish there were half stars=3.5
157,B004W3UFHE,Nice enjoyable read Despite the physics howler I give it 5 stars Can't put it down Entertaining read... OH for Two Loved the books.
158,B004W3VWSK,"A humorous fantasy tale Pretty much unreadable due to poor characters Not everybody's cup of tea, but I liked it"
159,B004W9BTSM,"Awesome Series! Boring Book review Good read Excellent story  ! I loved it. Great story King of Ashes (The Longsword Chronicles) Great read! pleasently surprised, good read Poor start strong finish If you're just looking for a good e-book this will be that for ya"
160,B004W9C6IO,"""There's No Such Thing"".... Or Maybe there is. Another one I could not put down."
161,B004WKPLCG,"sweet Do you like a story that makes you question which ia reality? The story or you! Great additions to the Liaden Universe.  Wish they were full length. Five Stars Good stories Unintended consequences of Duty Short but satisfying, and worth the price. From Another Angle Best of the short stories What a delightful story ... Short Excellent A nice trip through the Liaden universe Five Stars Excellent back story on the Korval's move from Liad to Surebleak by a taxi driver."
162,B004WLOBG2,so so The Coming Storm Awesome Love This Book I can't give anyone a 1 star rating-they did a ...
163,B004WPNCPY,"Solid Medieval Fantasy Really good read at a good price Demonsouled Finding the soul I really like Jonathan Moeller's stories Five Stars Good book Great Story - Poor Editing A good read I like to see as few typos as possible - that ... Excellent Adventure Demonsouled Review Meh Five Stars I think you would like this book only because it does not have a ... well written A good, solid series Worth the read Wonderful! I liked it, but I remember it suffering it places. Solid Good book Good read! Wow!  just, Wow! Demonsouled Excellent classic Sword and Sorcery Demonsouled Reminiscent of ""Conan"" in knights armour. Poorly written prose Excellent book Nice story Great Book A different type of hero Nice book awesome book review Not half bad This item is what it was represented to be, and I am most appreciative of the fact that I received what I paid for. Ready for Book II Please respect David Gemmell's memory Take it, it's worth reading Devilishly Good LAZ great read Totally Awesome!!!! excellant Demonsouled Review Favorite series in years. Four Stars Good fantasy Excellent book"
164,B004WSQG8Q,"leadership on the Road The Liaden Universe is well populated. Good stories A double treat from Lee and Miller (or, The Ankle-biters Grow Up!) Moving to Surebleak Worth it? There two stories. Hidden Resources Runig's Rock,and Moon on a Hill ... Halfling Moon Five Stars Five Stars Two Stories - Better Title would be ""Moving Day"" Great additions to the Liaden Universe.  Wish they were full length. Five Stars"
165,B004WTB0AE,Remarkably Assured eery
166,B004WX1DHK,not for beginners Back Story (Fighting Chance) and Side Story (Prodigal Son) Five Stars Great fiction read! Delightful nuggets from Lee and Miller Back Story & Expansion
167,B004WXEVOW,"Pulled me all the way in!! Fantastic Adventure Great book and series.  Truly enjoyed. Thoroughly surprised Journaling your fear really different and intersting well written and yet ultimately tedious Amazing! Excellent read. Well worth the time and the effort Keep your head on your shoulders, at all times! Amazing story! Strange Your curiosity will keep you glued to this one! a trip down the rabbit hole At times a bit confusing A story within a story that takes you places you cannot imagine Different Alice and the Rabbit Hole?? So good!! Read it!! A sci-fi read Magical and disturbing Amazing, mystifying, surreal adventure story Reminds me of a good dean koontz or Steven king book A seemingly normal person in a bizarre and dangerous place ... Surreal Nightmare-Dream fueled by zombie and post apocalyptic movies"
168,B004X1WS34,"Mazael Madness Fun fantasy read Sequel continues to entertain Excellent The first book was great, and this one continues the quality. A Good Sequel As good as the first ! And the great writing continues... Surprise - Sequel is better than the previous book (which was good) Good Read Like Conan A different type of hero awesome book review Not too bad Soul of Tyrants (Demonsouled Book 2) Review Best series in years. A Great Story Tryst then Triumph For the Entire Series Five Stars Good series"
169,B004X6MGZE,Short story for children ok Cute bedtime story This Tolkien-type fantasy can be read on many levels
170,B004X6OABW,good stories backstory Novella Five Stars Miri's Very Extremely Bad Weather Day Revealed This would have gotten four stars except for the terrible editing that seems to infect the whole Liaden series ... Five Stars
171,B004X8EMQ8,"Sexy, but deadly Good read"
172,B004XD590Q,"Great fiction read! Loved them Laiden continues Five Stars Two Liaden Universe stories Great additions to the Liaden Universe.  Wish they were full length. Five Stars Bitter sweet and satisfying Two stories from the Liaden Universe, Lord of the Dance and This House."
173,B004XJ4PDW,"The Shifter Unbound prequel. Good Add On for Fans, But New Readers Should Start with Pride Mates Hmmm.... good book to read GREAT!!!! Great series Shifter Made- Shifters Unbound Love this series This particular story that belongs to the series of Shifters Unbound is the beginning of one of the premier books about shifters!!!"
174,B004XJ55FO,An Elegant Story Discovered Magic A great read! I like this author (D.A Boulter). an interesting story I wish this was a series A very enjoyable Tale Very Good
175,B004XNNGDS,"A compelling story Everyone dies Excellent Reading! Who succumbed and who lived through the Mongolian Influenza Virus? very interesting This book spoiled me for other books Slowly, slowly the tension builds Excellent! Wow!!! What a great read! left you wanting more ""Earth Abides"" for the 21st Century Martin Land & Isherwood Williams, Fathers of the Future? A believable storyline, however... Good post-apocalyptic story - love the animal-centric viewpoint You're doing it wrong Very good"
176,B004XQVG5A,"Clan Korval' s backside Good to quench your Moonhawk/Lute craving Lute and Moonhawk at their best Five Stars Great back stories on Moonhawk. It is a Miller & Lee book, what more needs to be said? Great fiction series!"
177,B004XQZZPM,Good reading. I enjoy Sharon Lee and Steve Miller ... Linden Universe at it' s best Stories now available in Constellation 2 Five Stars Great fiction series!
178,B004XTTVCC,"Well written, great story. I think my love goes a bit beyond five stars..."
179,B004XW6GHM,"Good story Worth the cost and time This was a fun book. Enjoyable Want to like it, but... very enjoyable Way to many ""My Beloved"" delarations. Excellent book Good read Yes. we love elves! Magnificent read!! Really good read very nice novel Great Story Big Great book.  I wish he would continue the story and world. Sword and sorcery Ok, but a little long. Delightful"
