,reviewerID,summary
36,A10PUI69GZP75O,"Keeps up the story and pace from Sodium 1 A good book on first contact. Very enjoyable. Enjoyable science fiction series After reading Sodium 1-4 I could not wait to read the Sodium 5 Another hit! A great series, filled with interesting characters and a great storyline. A highly recommend read."
37,A10Q3TDA1YCCSN,Four Stars Four Stars Four Stars Five Stars Five Stars Four Stars Four Stars Four Stars Four Stars Four Stars
38,A10RCXV0T5IQES,"Oh my.... Great! Nice little story.... Interesting Excellent Nope... I am so hooked! Enjoying Satisfying Satisfying Love, love, LOVE this series!! Truly great Awesome series!!! Not as happy.... So enjoying this series! Very enjoyable Good enough Solid (spoilers) So good! Ack! Nope....sorry Excellent Fun Not happy... (spoilers) won't be rereading these Interesting"
39,A10TYLZITXEWX,Short story As good as the previous stories It was ok Too short Fun book
40,A10VJSU48TKSBF,"captivating unintelligible writing Rushed Not as good as anticipated cheesy, trite superficial Deflated"
41,A10WVOMOVDBWIS,Pretty good read not very believable A must read for sci-fi folks! A real page-turner Not my cup of tea A great sequel A really good premise and sci-fi story.
42,A10X7J2S45USIL,Dragon On Top Cyborg book 1 Vapor Alien General's Fated Alien General's Beloved Nadar Daegon Soros
43,A10XW3MO351G2,Good good book read it twice read it twice Love it like Good
44,A10Y597K071WTQ,"External Eden very good book Witch's Bell very good A Question of Will is fantastic Dark Wine not bad The Aliomenti Saga fantastic Dwellers of Darkness was terrific Releasing Rage was amazing Bitten fantastic Wonderful writer Color Blind was fantastic The Doctor was different In your dreams very good and different Irresistible Magic was fantastic Revealed was amazing Shadows, Maps, and Other Ancient Magic was fantastic"
45,A10YAFWRX41TIB,"Sodium 2: Apocalypse ... The aliens are back for 'round two' Sodium 3: FUSION Great sci-fi story! Sodium 6: DEFIANCE AMP 4: Humans are the LAST species to mess with, if you are a smart alien! AMP 5 amped up the expectation, and it delivered! Amp 6: SEIGE Amp 8: ARMAGEDDON ... a superb job in giving this series the wonderful ending it so richly deserved...WELL DONE! Omega GUARDIAN: Emporer Beutcher, Grunta with a coffee addiction, at large! Omega 3 - ALLEGIANCE: not all Saltons are alike!"
46,A10YASNXII4YLG,Patrick meme perhaps better in romance and soft porn section nonikwe nonikwe nonikwe nonikwe. Now that's what I am talking about gratifying read Agree with me I believe you will nonikwe nonikwe
47,A10ZUMCCLDNPKG,"Dr. Who meets Wild, Wild West. Jules Verne meets The Sting. A short and tantalizing treatment of three mind-blowing ideas. Not much for someone who hasn't read the novels. Not satisfying without the context of the ""Vicious"" novel. This is a plot-driven, pulpy, page-turner. It is a lot of fun. I'd recommend it to teens and adults with a lively sense of fun. Hive minds on Earth; alien surveyors in Space The Final Evolution ...was not the final chapter. The Spanglish-speaking, fractured world was quite the attention-grabber that held together this story collection. The Setting is the Thing. Urban Fantasy - Mystical Steampunk Egypt Reverse Urban Fantasy - Rogue PI Time-manipulation rather than time-travel, but a good story."
48,A1107ISUSI7LZ0,the hits just keep on coming! 3 Down! Meh Revived a fan of the series Loved the series!
49,A110RES3L2PDV9,"How to Survive Ship Destruction in Just 186 Steps Ambulances ... on the Moon! Representatives of the Galactic Federation contact Earth. But can ""Galactic"" and ""Federation"" be ... singular? Space Bears force Human anti-heroes to destroy Earth.... How to use the Higgs Boson to Save the Space Elevator Literally living at the deadly expense of others...."
50,A110VFM9F6HJKD,"Good quick read Previously released I love Ruby, er, Lindsay, SO MUCH! I really want this to be a series! Hooked on this series Not sure Unique world Love"
51,A110ZX1ZFDNB7E,Great author Cute but gritty story Lots of questions Good short story Weird Good story Good story Good story Good stories Meh A little different
52,A1115Y8XFE7SL9,"Five Stars I can only hope that nothing bad happens before the final book is written Will be disappointed if the next book is the last. and I liked the characters from the first book Good fun, fast read"
53,A112GUYAUU62RP,Four Stars Four Stars Five Stars Five Stars Four Stars Five Stars Five Stars
54,A112JRLN4F6ZYQ,"An Amazing Adventure A Wonderful, Frustrating Read Fabulous Story, Horrible Editing Good Follow-Up A Solid Second in the Series Great Story, Atrocious Editing An Ending to the Trilogy, but not the Series 3.5 Stars Better than Acceptable, but not Outstanding I Don't Know What to Think A Great Story for the Right Audience"
55,A11320JOYZO9YG,"Familiar storyline, but some interesting characters and plot twists. Worth reading and learning more. Simply awful! Over the top characters and interesting destinations, yet somehow falls just short of a full five stars. A whole lot of story in a small package. ... Fun and thought provoking. Highly recommended Fast paced military sci-fi."
56,A114NQPELQ0Z62,"Heartwarming, family oriented, good mix of action and drama Good Job Good story to lose yourself in. Very realistic. Five Stars Easy to get wrapped up in this Fast, unpredictable, satisfying"
57,A1162X1PBEIT6H,buy them all Just buy the whole series Fantastic Five Stars Grea books
58,A1168ILANAUMV8,"I am loving this serial novel! This is not my typical go to read My favorite, so far! Love this series! I am excited about this new series!"
59,A116CEWBPPCKNU,"Dragons Blood has no dragons although it has plenty of blood Interesting, well-written, exciting story of a mercenary who finds himself in charge of a Princess Imaginative story of Ashyana and her transformation from Scout to Destroyer Well written, adventurous, thought-provoking Kara the unmage Space opera, action-packed, and improbable Empress of Storms is for adults Space opera, too implausible to finish reading Exciting. Five Stars Exciting, filled with adventure and action Interesting view of future space travel"
60,A116LD36M5631J,Three Stars Loved them. Loved them. Five Stars Five Stars Five Stars Five Stars
61,A118GQMSQULGMZ,"Very good reading entertainment ! Good storey telling. A good sci Fi book to read but to drawed out Five Stars Great reading for all ages, for people that likes to expand their mine."
62,A118KLRZTRO5E3,"Last One Who knows how many stars -- but it's fun for the most part If You like WMD .... Ooh, and Religion Keep Writing! Authors PC Agenda Outdated, Distracting  Misguided Mess"
63,A119K9E3BCHJK7,Good Read It's an Ok book. I loved this book Five Stars Five Stars I liked this series. I liked this series.
64,A11CT3XWNO61MB,Love Dirk Patton's v series! Highly recommended ! This series is incredibly good!!!!! Wonderful series! Love this book Awesome!
65,A11DR9PS120IX2,"MUST,MUST,MUST READ!!!! WOW! A-freaking-mazing!!!!! <3 <3 <3 Cutters... Nail biter..."
66,A11EOAFZOKU4OJ,"a story that got better as you read more if it. good read, excellent story! goos boo, good read. a new voice in sci-fi has arrived! Well crafted yarn. Short but good."
67,A11FM934BI2M6S,"spectacular story roller coaster ride life in the trenches Stunning collection Enveloping Story Stealing a ship is easy... Dangerous, deadly but helpful"
68,A11G1LS7X72AF,Darkness by John Griffin Pretty good so far A First Hand Look... Well Written Paranormal Tale The beginning was creepy...
69,A11HY5ECYQUQ4L,Semi-Steampunk Mythos-Inspired Awesomeness! Excellent Outbreak Story Gotta Love a Grail Tale More amazing twists Deeper and Darker
70,A11I7EUU8GOV33,Great Series Great Series Another Winner Very Exciting Another Winner Very Good Keeps Getting Better
71,A11JRFQWVNUQ2D,Clement Series Book 1 like it enough to buy the next one What a fun read!! Another fun romp in space! What a good surprise! Change of venue welcomed To much battling! True exploration and not one battle in sight!
72,A11KW0227OCIN1,Derf for a dad? Great Military sci-fi Empire Corps - great new work More in the April series Yet another excellent book by Nuttall! another great entry in the series a great follow-up to Family Law! Amazing good collection of British Empire military science fiction! One of the best in this series. Great read. This is a great collection of short stories from Mackey Chandler Leo Champion has become one of my favorite Science Fiction authors - he also runs a small ...
73,A11KYCB4EGBUD8,"Excellent read! Once I picked it up I couldn't ... Great read my first time down the Sci-Fi / Virtual ... Awesome read, awesome series Great read. you have to read them in order ... too much A good start"
74,A11LPRBN7Q1J0U,Amazing Amazing book Amazing book Amazing book Amazing Wowza
75,A11M5KF719XVI1,Fantastic Gritty SciFi with a dash of erotica Engaging story Amazing new series! Great characters! Loved the tech / magic twist Great read! Awesome read! Great storyline Another great instalment!
76,A11NUK5M55N1HW,Fantastic book!! Demons on a larger scale Keeps getting better Planet Wolf Such a bittersweet good-bye!
77,A11NZJ0LVDH7W6,"I loved this book and will read the rest of the series. 1000 years after Camelot, old legends, and a spunky young girl/woman. I loved this book and will be very sad if it stops. I love this series! Please tell me there is going to be more!!"
78,A11OY4QGJUAHWH,"Music of the Spheres Black Legion; Warlords of Cunaxa The Tactics of Revenge It was great, can't wait for next in series First contact"
79,A11P0JR8XI5ZJX,Simple but good Simple but good Time well spent Great work Great work
80,A11QLIR6HHSNVO,"WOW!!!! Space opera at its best, thanks jamie... Space opera at its best. Great read !!! 5 short stories that are very good"
81,A11RPSVQOR4Y5Z,"I liked it! Four Stars Passable. I had issues with the type of society ... Hard interplanetary SF, with realistic attention to both orbital ... Four Stars This book showed promise, but falls into the same ... A seemingly normal person in a bizarre and dangerous place ... Four Stars Two Stars ... delightful collection of (very) short stories that read almost like fairy tales A rogue airship takes aboard a forbidden, mysterious cargo ... Story of the sole crewmember awake on a long interstellar ..."
82,A11SG0M21N9KTS,"Kept me reading till late, left me wanting more! My kind of series So far so good! Another Winner From David Beers! Four Stars Four Stars Unimpressed! A Good TEOTWAWKI Novel/Series! Five Stars Another Good Series For The Prepper Crowd (I'm One!)"
83,A11SRRYMENX9XI,"Interesting yet incomplete First book was interesting Okay, a few editing issues Good Concept, Tons of errors but an interesting universe Fun and Fast"
84,A11TKO6LQANCT7,Good alternate history book on Pearl Harbor not as good as the books in the earlier part of the ... third part of a series on alternate history --after cuba ... Four Stars disappointing Another good book by this author--he has several series Kind of like Horatian horn blower in space Four Stars Four Stars Five Stars Three Stars Four Stars
85,A11TR2XF6H9XG0,"Very good Supers series. Reminded me of the Watchmen movie. Bad Boy becomes ""good"" super villain Good continuation of the series Great Adult Fantasy Ho, hum Good yarn, little weak in the science Impulse power at maximum! Smug overlords beware! Couldn't get into to it. Excellent Adventure in an Alternate World of Living Myths From shy wall flower to saucy sorceress Sickening"
86,A11TSBJ4J4A7AR,Must read Five Stars Five Stars Five Stars Five Stars Five Stars Five Stars Five Stars Five Stars Five Stars Five Stars Five Stars Five Stars Five Stars
87,A11TXTVCFT246T,wonderful book Wonderful book wonderful book wonderful wonderful book great book a must read
88,A11U7X02QQ2OBW,great Series another great book good read Great concept poor editing Can't wait for next book Totally Unexpected
89,A11X2AFT7G80UG,Wow Wow Can't wait Loved Amazing Wow OMG Amazing
90,A11XG9FST7A4F5,Still reading book 3 Nuttall continues to produce interesting stories Still hanging in there... A great lack of knowledge Wishing the books would come out faster Excellent Sci-Fi Good follow up series Great read Good read but... Very long Do NOT miss this story!! Read the entire series Another good read from Andreas Chritensen
91,A11Y2VAR3AWSPX,"A dystopian world short story, that Rob would have been  better off  to leave well enough alone. A prequel that needed a balance of the human side to add heart to its story. Confusion and probing to find out what is in store for Mick. I needed more in this story then a few words at the end. The story-line and plot hold your interest until the next assignment pops up. Nicely written about the GrailChase with the flair of mystical magic and steampunk gadgets. The more disirable strands of the stronger race got lost due to submissive changes for a purpose. A Starfarer tale with a twist. I believe the short story was stopped short of being a great thriller. I think this short story on its face value has a more serious point to express. A  good example of a steampunk sub genre style of  science ficion. Sometimes no matter what you try to do, it just doesn't help anyway One never knows what powers one role plays when it comes to life being threaten."
92,A11YOUENDE1GR0,From a male perspective... Outstanding! Loved it. Don't trust the 1 star reviews Great new spin on the series!
93,A11ZHL82OC2J09,Four Stars Two Stars Five Stars Post apocalypse and it is basically back to feudal times ... Four Stars Fun story. Cute and funny new fairy tale.
94,A11ZNT2UXBLNL8,"Good start, enjoyable Dark, deep, beautiful. Hudson and Bev rocked my socks. enjoyable characters, quite a bit of heat Sweet sci-fi romance, great world-building Sweet romance with a SciFi Twist scifi post-apoc full of unexpected twists Good sci-fi murder mystery with a touch of romance Great having this on Kindle Destroying worlds by destroying words. Fast paced, well written and unique Short and sweet"
95,A124BP1PVXW5B7,"Witch's Bell Book One A QUESTION OF WILL LIFE'S A WITCH TIMELESS TRILOGY BOOK TWO, SPELLBOUND Ghostly Justice Mortal sins"
96,A124BTO2QEW0C3,"no surprise, just plain great reading! real good start for a series! a great second book! Wow, excellent writing! More good writing. I like it!  this book made for a great read! Another great book! And the action and plot continue! Lots of action! Short but excellent! The start of another great series! A different story Excellent book! A different kind of story! A different kind of story!"
97,A124LFWVIMXGNI,Nice sci-fi Nice SCI-Fi Nice Sci Fi Good Sci-Fi with interesting historical perspectives. Another nice Sci-fi from Nathan Lowell Another nice sci fi from Paul Honsinger.
98,A124ORM08ZR9QT,"I couldn't finish this, maybe you can. Great continuation of this great series, but it's time to wrap it up and leave us wanting more. Pretty good zombie tale, I've downloaded the next in the series. A fun read, but it's important to read the time patrol after the Night Stalkers series to get the history. War of the Worlds - part duex."
99,A126628FV6DFGS,"Highly recommend Loved it. Great ending. Great prequel I'm not kid, and I loved it. Enjoyable."
100,A1273MSVJ3T76Z,"Great interstelar romp Exceptional story telling Great story Terrific Wow Outstanding sequel Amazing piece of work not bad Old style space opera Absolutely perfect better than the first book if you like romance Space epic? Where? Fun quick read Good story, poor writing Great read good premise, poor execution. Write faster Allmost a 5 star 10 star space opera 3 star story, 4 star price Well written but predictable. Solid sequel Good addition Filling, but not satisfying Worth a buck great addition to this universe Its ok Too absurd in so many ways. Ok, 1st book, the rest not so much Very good space opera Old school 5 star story, 3 star execution Great sequel meh Book #4 in the series 3.6 stars"
101,A127V3H588Q2Z5,Four Stars Four Stars Four Stars Four Stars Four Stars
102,A1287JVHXZCIX8,2.5 Stars but we will round up. decent Not bad Gratuitous Little better than average Really Enjoyed it.
103,A128WVE74DZ4NP,Good read Fun series great book Stat beating Good but over priced Great space opera
104,A129C2ADAWCQCO,Entertaining and fun to read Recommended Good reading South Coast did not disappoint. The characters were were well developed Looking forward to more Intriguing and different Alan Black has done it again! Great book
105,A129U6BACBQVR0,Amazing Series Maria's book 1 Fun and witty Excellent Great Amazing Another amazing story by Reeves
106,A12AS5YHMMUEEK,Love this series! A little too madcap for me. Pretty good book BIG MESSY PIE Messy! Average :( TOO SENTIMENTAL FOR MY TASTES It's all about the money WISH IT WAS EXPANDED A LITTLE CONFUSING
107,A12AURI7KXSI1Z,"You really will want to read this book! Another great book in the series! Great read! Great story about a young man becoming what he is meant to be. Great book, fantastic series!"
108,A12EQ8T42T70GZ,Great series & great afterward good series Good series You'll enjoy it. Mack is Back Love the New Frontier series Great return of the series
109,A12EX9VTC4KR66,closure done right Welcome Back DTI Q? The Reurned has definately  returned Welcome Back Calhoun: We missed you. solid middle saga book Okay tale. Could of been better
110,A12F0XBQYY6W5C,Ok read Good read. Great read!!! Great read!!! Good read!
111,A12FB67W4E2GP7,Gabeiel Flare just keeps rolling with the punches I hope someone who can spell will edit this book Agreat short story Jack and topclaw Con red recourse
112,A12FBJ6DO3XP3U,Wow Fun reading Grand reading Fun reading Excellent Fun story
113,A12GID1HOOBX8L,"Well worth the price! Okay Interesting Ice Princess by Jason Halstead The Peacekeepers. Books 4-6 by Ricky Sides Redeemed Bounty by Jason Halstead Just as I thought A very good read Omega Zero by Ryan Henry Outcome Breakers by Edwards W. Robertson Knifepoint  Breakers bk 3 by Edward W. Robertson The Time of Chaos (The Survivors) by Gia Scott Pretty good read..great for young adults Intense It's no wonder this book won a writing contest Well written and full of adventures Very Good!!! Complex characters with realistic lives Superb, as usual! Wonderful! Wow! That's All I Have To Say About That!!!!! Good Excellent series Totally eliciting! As good as it gets Very Good. Great book Amazed Very Very Good Superb! Absolutely Genius!! What more can I say..... Very GOOD as usual! Great ending to a trilogy! WELL....... Different Very Intriguing Loved This Book! Wonderful Continuation! Really Good! Excellent!!! Excellent!!! Very different Very Good! Must-have Book? Very Good Nice Very different. So good! Very Good Very different Very Good Suck a superb series well worth its weight in gold. Good Loved it! Ten Stars For books 1-15 of The Peacekeepers!!!!! Wonderful Ending Very good!!!!! Great First Book Bazaar Dang! Very good book! Good Good Book Excellent! Really liked this Not bad Serious with a bit of humor Good!"
114,A12HLUVCHU3C7F,One Star Three Stars Two Stars do not buy Three Stars
115,A12HMA5R2A7G7X,"Want to like it, but... Read it, you will enjoy it. Fun and interesting, so buy it and enjoy Fun, Addictive, and worth every penny for the whole series Ryana fans will want to buy this one Caina's back and she's just as deadly Pass on this one A new and interesting series An excellent addition to the series My hopes were high after book 2 Enjoyed it, really looking forward to the next book"
116,A12IRC7C82QVCR,Good story whether you understand it or not. (I didn't) Find a better editor Move along Save your money Good read
117,A12JT39GFT680G,Great read!  Looking for the next one? Another Spec Forces guy Baretts's a hoot! I always enjoy his books Five Stars Intersteller Vet! A good start for the. Reaper's story.
118,A12K5Y2SEANYW0,Chaos #1- #3 The Inner Circle ( 1 ) Bypass Gemini#1 Interception Good read Battle for Cillicia ( star legions) A Question Book1 Decrypted Lost and Found The Last City of America Breakers 1- 3 Crimson Worlds #1 Sky Hunter Merkiaari Wars#1-3 Ambassador 1 The Aliomenti Saga Star Crusades Nexus: The First Trilogy The Pattern Ship (1) Karma of the Silo The Reset The Snow Last Stand of the Legion The War of  Alien Aggression ( Box Set One ) Ancient Birthright ( 1 ) The Northern Star Trilogy Hero at Large (  1 ) Drifters` Alliance ( 1 ) A Thread of Time ( 1 ) Prototype D ( 1 ) Legacy ( 1 ) Code Breakers complete series (1-4) Machinations Impersonator (1) Remains of Urth ( 1 ) Reverence The Southern Watch Series ( 1-3 ) Gargoyles In Times Passed ( 1 ) Eden`s Fire Next ( 1 ) No Middle Ground (1) Tribe:Red Hand ( 1 ) Children of Atlas ( 1 ) Blood Royal ( Grendel Uprising 2 ) Wild Thing ( 1 )
119,A12L31UZ9HH4GR,Miranda Gets Hitched Better Title Than Book A Paddlewheel Night At The Opera Tired of Weber's Books Of Meeting Minutes?  Try Some Real Space Opera! Satisfying Backstory Young Tamas On The Road With Alex Adamat On The Hunt Vlora Meets Olem
120,A12LJS3DT017C,It's a good start... I really wanted to like this... Be careful what you ask for... Not that good. Great prequel An entire trilogy for the price of one... Great trilogy Fantastic book
121,A12LKEM543ILBK,"It Had Potential Not Worth Your Time The Story Was Good, The Ending Sucked! This was just bad Nothing Special Zombie Larva! Zombies from Siberia to Houston! What did I just read? Zombies Invade Suburbia! Much Better Than the First One Pretty Lackluster Lame Short, but Great! NYC Zombies! Origin Stories Didn't like it one bit Zombies and a Dysfunctional Family CDC Security Procedures Suck! Pretty Meh... Good Start to the Zombie Apocalypse"
122,A12MZ5BQGBCH1S,Gray rules Nice read Katana rocks A New Honor Harrington? It gets better and better An excellent yarn didn't finish it
123,A12NK9YVXHSF2K,"Great story, strong characters The fall The Sorilla saga continues The saga continues The story continues The story continues Good start Love this series Cliffhanger Cruising on x"
